"Reference","Value","Datasheet","Qty","Description","Manufacturer_Part_Number","Price"
"IC1","STUSB4710AQTR","https://uk.farnell.com/stmicroelectronics/stusb4710aqtr/usb-pd-controller-qfn-24/dp/2809285?srsltid=AfmBOorAHWB8haLTMyYP6OrA8XQoe2V-VsqKpObhj5T_LLLnD8WSjPc-","1","Super Speed PD Controller 5V/9V/12V/15V/18V/24V T/R 24-Pin QFN EP","STUSB4710AQTR","1.03"
"IC2","BQ76922RSNR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/BQ76922RSNR?qs=dbcCsuKDzFV1TGwm4B7DLw%3D%3D&srsltid=AfmBOor1BwixVM4imBs0xd3ssBI2snkv_dKEs7gEDBC8HCYSlzWdYF-s","1","Battery Management Three-series to five-series cell lithium-ion and lithium-phosphate battery monitor","BQ76922RSNR","3.08"
"J1","632723300011","https://uk.farnell.com/wurth-elektronik/632723300011/usb-connector-3-1-type-c-rcpt/dp/2984361?srsltid=AfmBOoq_rsfBg-e4OV9-XtGNTpMTNYyO152eWN8LegmEdX5MT1hYTNFv","1","USB Connectors WR-COM USB3.1 Type C SuperSpeed+ Rcpt","632723300011","3.62"
"J2","Conn_01x14_Pin","https://www.digikey.co.uk/en/products/detail/w-rth-elektronik/61301411121/4846849?gclsrc=aw.ds&&utm_adgroup=&utm_source=google&utm_medium=cpc&utm_campaign=PMax%20Shopping_Product_New%20Customer%20Acquisition&utm_term=&productid=4846849&utm_content=&utm_id=go_cmp-19905262708_adg-_ad-__dev-c_ext-_prd-4846849_sig-Cj0KCQjw1um-BhDtARIsABjU5x5IZchPm1Re5jb8lZ6dm-_WGVxZLQDpy4bDA0Enw1KwuXt_1ODZSgUaAiIqEALw_wcB&gad_source=1&gclid=Cj0KCQjw1um-BhDtARIsABjU5x5IZchPm1Re5jb8lZ6dm-_WGVxZLQDpy4bDA0Enw1KwuXt_1ODZSgUaAiIqEALw_wcB&gclsrc=aw.ds","1","Generic connector, single row, 01x14, script generated","61301411121","0.67"
"J3","694108301002","https://www.we-online.com/components/products/datasheet/6941xx301002.pdf","1","DC Power Jack Right Angled 5A, 30 V(DC), Contact Resistance 50 m","694108301002",""
"J4","691137710002","","1","","",""
"L1","ETQ-P5M220YSC","https://industrial.panasonic.com/cdbs/www-data/pdf/AGL0000/AGL0000C70.pdf","1","Series/Type: High Vibration Acceleration-resistant Power Choke Coil for Automotive-MS (MC type), Size [L] (mm): 10.910.0, Height (mm): 5.6, Inductance (H): 20, DC Resistance [Typ.] (at 20) (m): 45.5, DC Resistance [max.] (at 20) (m): 50, Rated Current [Typ.] (T=40K, FR4, t=1.6 mm,Four-layer PWB) (A): 5.2, Rated Current [Typ.] (T=40K, High heat dissipation PWB) (A): 6.2, Rated Current [Typ.] (L=30%)  (A): 7.9, Weight (Typ.) (g): 3.1, AEC-Q200 compliant","ETQ-P5M220YSC","1.20"
"L2","MSD1583-223MEB","","1","INDUCTOR, 22UH, 3.45A, 20%, PWR, 10.5MHZ","MSD1583-223MEB",""
"Q1,Q3","2N7002","https://www.mouser.co.uk/ProductDetail/Infineon-Technologies/2N7002-H6327?qs=CVg1V728NXGZyf6kD1tkzQ%3D%3D&mgh=1&vip=1&utm_id=20808080842&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gclid=Cj0KCQjw1um-BhDtARIsABjU5x70kCIU17Y9chiVxNH_Vom0j4sKZ5ToqWr6DV3ByRFWQx4h5b8ahzcaAj4GEALw_wcB","2","0.115A Id, 60V Vds, N-Channel MOSFET, SOT-23","2N7002 H6327","0.21"
"Q2,Q4","SIS413DN-T1-GE3","https://www.mouser.co.uk/ProductDetail/Vishay-Semiconductors/SIS413DN-T1-GE3?qs=vgn07B5hXav8x6TX%252BtAIoQ%3D%3D","2","P-Ch PowerPAK1212 Cu 30V 9.4mohm@10V","SIS413DN-T1-GE3","0.58"
"R1,R2,R3","3k24","https://www.digikey.co.uk/en/products/detail/yageo/RC0603FR-073K24L/727125","3","RES 3.24K OHM 1% 1/10W 0603","RC0603FR-073K24L","0.08"
"R4,R26","100k","https://www.digikey.co.uk/en/products/detail/rohm-semiconductor/ESR03EZPF1003/1983430","2","RES 100K OHM 1% 1/4W 0603","ESR03EZPF1003","0.12"
"R5","4.81k","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RN73H1JTTD4811B25?qs=582LK1XNA7LTNwR5VHugwg%3D%3D&srsltid=AfmBOoo6gri6g2xu2rXc1ABkOav6S-9c3aTxtg7NNutX6ztjQHESnNk1","1","Thin Film Resistors - SMD 4.81kOhm,0603,0.1%,2","RN73H1JTTD4811B25","0.18"
"R6,R8,R18,R22,R27","100","-- mixed values --","5","-- mixed values --","-- mixed values --","-- mixed values --"
"R7","1k","https://www.digikey.co.uk/en/products/detail/vishay-dale/CRCW06031K00JNEAIF/3477274?srsltid=AfmBOoqM_C78zLfiw-YdUpmN3JS4P2_NqO2IPeLygIKGkpOp0cehDR8Q","1","RES SMD 1K OHM 5% 1/10W 0603","CRCW06031K00JNEAIF","0.336"
"R9,R10,R11,R12,R16,R19","20","","6","-- mixed values --","-- mixed values --","-- mixed values --"
"R14,R17","10k","https://www.digikey.co.uk/en/products/detail/yageo/RC0603FR-0710KL/726880?srsltid=AfmBOoqjqC5qo52Z-BfREj56jdcNCkiFl9EdC8LTCxkmf6IG3DRH4_a1","2","10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film","","0.096"
"R15","1 mOhm","RC0603FR-073K24L","1","","",""
"R20","604","","1","","","None"
"R21","40k2","","1","","","None"
"R23","13 milli_Ohm","https://www.vishay.com/doc?30417","1","WFCP0603R0120FE66 Current Sense Resistors - SMD .012ohms 1% .5w","",""
"R24","110k","","1","","","None"
"TH1,TH2,TH3","10K","https://www.mouser.co.uk/ProductDetail/Vishay-BC-Components/NTCLE100E3103HB0?qs=5%252BH5Zw0P0yW5JOWp96diiA%3D%3D&utm_id=9520607717&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gclid=Cj0KCQjw1um-BhDtARIsABjU5x5YCU0sR6JFxllQE0SxqyTI_yDPWeZCHrmKHXMBX6lqqmDFIr6CF7QaAgg0EALw_wcB","3","NTC (Negative Temperature Coefficient) Thermistors 10Kohms 3% Radial 0.6 LEAD","NTCLE100E3103HB0","0.45"
"TP1,TP2","NTC1","~","2","test point","",""
"TP3,TP4","NTC2","~","2","test point","",""
"TP5,TP6","NTC3","~","2","test point","",""
"TP7","VBUS_Test","~","1","test point","",""
"U1","TPS54308DDCR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPS54308DDCR?qs=gt1LBUVyoHl9iRtozvTSQw%3D%3D&srsltid=AfmBOor4dTlKEWBPcURVRY9CiGSjj8TpqTcqn704-3eWI04XBC6X9RDt","1","3A, 4.5 to 28V Input, EMI Friendly integrated switch synchronous step-down regulator, continuous-conduction, SOT-23-6","TPS54308DDCR","1.10"
"U2","LM3488MM","","1","","",""
"U3","CSD18563Q5A","CSD18563Q5A","1","","",""
